Sr. No.,Player,Teams,Base Price,Winning Bids,Capped / Uncapped
1,Noor Ahmad ,Chennai Super Kings,"2,00,00,000","10,00,00,000",Capped
2,Ravichandaran Ashwin,Chennai Super Kings,"2,00,00,000","9,75,00,000",Capped
3,Devon Conway ,Chennai Super Kings,"2,00,00,000","6,25,00,000",Capped
4,Syed Khaleel Ahmed,Chennai Super Kings,"2,00,00,000","4,80,00,000",Capped
5,Rachin Ravindra ,Chennai Super Kings,"1,50,00,000","4,00,00,000",Capped
6,Anshul Kamboj,Chennai Super Kings,"30,00,000","3,40,00,000",Uncapped
7,Rahul Tripathi,Chennai Super Kings,"75,00,000","3,40,00,000",Capped
8,Sam Curran ,Chennai Super Kings,"2,00,00,000","2,40,00,000",Capped
9,Gurjapneet Singh,Chennai Super Kings,"30,00,000","2,20,00,000",Uncapped
10,Nathan Ellis ,Chennai Super Kings,"1,25,00,000","2,00,00,000",Capped
11,Deepak Hooda,Chennai Super Kings,"75,00,000","1,70,00,000",Capped
12,Jamie Overton ,Chennai Super Kings,"1,50,00,000","1,50,00,000",Capped
13,Vijay Shankar,Chennai Super Kings,"30,00,000","1,20,00,000",Uncapped
14,Vansh Bedi,Chennai Super Kings,"30,00,000","55,00,000",Uncapped
15,Andre Siddarth,Chennai Super Kings,"30,00,000","30,00,000",Uncapped
16,Shreyas Gopal,Chennai Super Kings,"30,00,000","30,00,000",Uncapped
17,Ramakrishna Ghosh,Chennai Super Kings,"30,00,000","30,00,000",Uncapped
18,Kamlesh Nagarkoti,Chennai Super Kings,"30,00,000","30,00,000",Uncapped
19,Mukesh Choudhary,Chennai Super Kings,"30,00,000","30,00,000",Uncapped
20,Shaik Rasheed,Chennai Super Kings,"30,00,000","30,00,000",Uncapped
21,KL Rahul,Delhi Capitals,"2,00,00,000","14,00,00,000",Capped
22,Mitchell Starc ,Delhi Capitals,"2,00,00,000","11,75,00,000",Capped
23,T. Natarajan,Delhi Capitals,"2,00,00,000","10,75,00,000",Capped
24,Jake Fraser-Mcgurk ,Delhi Capitals,"2,00,00,000","9,00,00,000",Capped
25,Mukesh Kumar,Delhi Capitals,"2,00,00,000","8,00,00,000",Capped
26,Harry Brook ,Delhi Capitals,"2,00,00,000","6,25,00,000",Capped
27,Ashutosh Sharma,Delhi Capitals,"30,00,000","3,80,00,000",Uncapped
28,Mohit Sharma,Delhi Capitals,"50,00,000","2,20,00,000",Uncapped
29,Faf Du Plessis ,Delhi Capitals,"2,00,00,000","2,00,00,000",Capped
30,Sameer Rizvi,Delhi Capitals,"30,00,000","95,00,000",Uncapped
31,Donovan Ferreira ,Delhi Capitals,"75,00,000","75,00,000",Capped
32,Dushmantha Chameera ,Delhi Capitals,"75,00,000","75,00,000",Capped
33,Vipraj Nigam,Delhi Capitals,"30,00,000","50,00,000",Uncapped
34,Karun Nair,Delhi Capitals,"30,00,000","50,00,000",Uncapped
35,Madhav Tiwari,Delhi Capitals,"30,00,000","40,00,000",Uncapped
36,Tripurana Vijay,Delhi Capitals,"30,00,000","30,00,000",Uncapped
37,Manvanth Kumar L,Delhi Capitals,"30,00,000","30,00,000",Uncapped
38,Ajay Mandal,Delhi Capitals,"30,00,000","30,00,000",Uncapped
39,Darshan Nalkande,Delhi Capitals,"30,00,000","30,00,000",Uncapped
40,Jos Buttler ,Gujarat Titans,"2,00,00,000","15,75,00,000",Capped
41,Mohammad Siraj,Gujarat Titans,"2,00,00,000","12,25,00,000",Capped
42,Kagiso Rabada ,Gujarat Titans,"2,00,00,000","10,75,00,000",Capped
43,Prasidh Krishna,Gujarat Titans,"2,00,00,000","9,50,00,000",Capped
44,Washington Sundar,Gujarat Titans,"2,00,00,000","3,20,00,000",Capped
45,Sherfane Rutherford ,Gujarat Titans,"1,50,00,000","2,60,00,000",Capped
46,Gerald Coetzee ,Gujarat Titans,"1,25,00,000","2,40,00,000",Capped
47,Glenn Phillips ,Gujarat Titans,"2,00,00,000","2,00,00,000",Capped
48,R. Sai Kishore,Gujarat Titans,"75,00,000","2,00,00,000",Capped
49,Mahipal Lomror,Gujarat Titans,"50,00,000","1,70,00,000",Uncapped
50,Gurnoor Singh Brar,Gujarat Titans,"30,00,000","1,30,00,000",Uncapped
51,Mohd. Arshad Khan,Gujarat Titans,"30,00,000","1,30,00,000",Uncapped
52,Karim Janat ,Gujarat Titans,"75,00,000","75,00,000",Capped
53,Jayant Yadav,Gujarat Titans,"75,00,000","75,00,000",Capped
54,Ishant Sharma,Gujarat Titans,"75,00,000","75,00,000",Capped
55,Kumar Kushagra,Gujarat Titans,"30,00,000","65,00,000",Uncapped
56,Kulwant Khejroliya,Gujarat Titans,"30,00,000","30,00,000",Uncapped
57,Manav Suthar,Gujarat Titans,"30,00,000","30,00,000",Uncapped
58,Anuj Rawat,Gujarat Titans,"30,00,000","30,00,000",Uncapped
59,Nishant Sindhu,Gujarat Titans,"30,00,000","30,00,000",Uncapped
60,Venkatesh Iyer,Kolkata Knight Riders,"2,00,00,000","23,75,00,000",Capped
61,Anrich Nortje ,Kolkata Knight Riders,"2,00,00,000","6,50,00,000",Capped
