Sr. No.,Teams,Player,Base Price,Winning Bid
1,Lucknow Super Giants,Rishabh Pant,"2,00,00,000","27,00,00,000"
2,Punjab Kings,Shreyas Iyer,"2,00,00,000","26,75,00,000"
3,Kolkata Knight Riders,Venkatesh Iyer,"2,00,00,000","23,75,00,000"
4,Punjab Kings,Arshdeep Singh,"2,00,00,000","18,00,00,000"
5,Punjab Kings,Yuzvendra Chahal,"2,00,00,000","18,00,00,000"
6,Gujarat Titans,Jos  Buttler,"2,00,00,000","15,75,00,000"
7,Delhi Capitals,KL Rahul,"2,00,00,000","14,00,00,000"
8,Mumbai Indians,Trent Boult,"2,00,00,000","12,50,00,000"
9,Rajasthan Royals,Jofra Archer,"2,00,00,000","12,50,00,000"
10,Royal Challengers Bangalore,Josh Hazlewood,"2,00,00,000","12,50,00,000"
11,Gujarat Titans,Mohammad Siraj,"2,00,00,000","12,25,00,000"
12,Delhi Capitals,Mitchell Starc,"2,00,00,000","11,75,00,000"
13,Royal Challengers Bangalore,Phil Salt,"2,00,00,000","11,50,00,000"
14,Sunrisers Hyderabad,Ishan Kishan,"2,00,00,000","11,25,00,000"
15,Punjab Kings,Marcus Stoinis,"2,00,00,000","11,00,00,000"
16,Royal Challengers Bangalore,Jitesh Sharma,"1,00,00,000","11,00,00,000"
17,Delhi Capitals,T. Natarajan,"2,00,00,000","10,75,00,000"
18,Gujarat Titans,Kagiso Rabada,"2,00,00,000","10,75,00,000"
19,Royal Challengers Bangalore,Bhuvneshwar Kumar,"2,00,00,000","10,75,00,000"
20,Chennai Super Kings,Noor Ahmad,"2,00,00,000","10,00,00,000"
