Sr. No.,PLAYER,Base Price,Capped/Uncapped
1,David Warner ,"2,00,00,000",Capped
2,Jonny Bairstow ,"2,00,00,000",Capped
3,Kane Williamson ,"2,00,00,000",Capped
4,Daryl Mitchell ,"2,00,00,000",Capped
5,Shardul Thakur,"2,00,00,000",Capped
6,Mujeeb Ur Rahman ,"2,00,00,000",Capped
7,Adil Rashid ,"2,00,00,000",Capped
8,Finn Allen ,"2,00,00,000",Capped
9,Ben Duckett ,"2,00,00,000",Capped
10,Rilee Rossouw ,"2,00,00,000",Capped
11,James Vince ,"2,00,00,000",Capped
12,Tom Banton ,"2,00,00,000",Capped
13,Mustafizur Rahman ,"2,00,00,000",Capped
14,Naveen Ul Haq ,"2,00,00,000",Capped
15,Umesh Yadav,"2,00,00,000",Capped
16,Tabraiz Shamsi ,"2,00,00,000",Capped
17,Evin Lewis ,"2,00,00,000",Capped
18,Steve Smith ,"2,00,00,000",Capped
19,Gus Atkinson ,"2,00,00,000",Capped
20,Tom Curran ,"2,00,00,000",Capped
21,Matt Henry ,"2,00,00,000",Capped
22,Alzarri Joseph ,"2,00,00,000",Capped
23,Rassie Van Der Dussen ,"2,00,00,000",Capped
24,Sean Abbott ,"2,00,00,000",Capped
25,Adam Milne ,"2,00,00,000",Capped
26,Jason Holder ,"2,00,00,000",Capped
27,Chris Jordan ,"2,00,00,000",Capped
28,Tymal Mills ,"2,00,00,000",Capped
29,Akeal Hosein ,"1,50,00,000",Capped
30,Sam Billings ,"1,50,00,000",Capped
31,Mark Chapman ,"1,50,00,000",Capped
32,Mohammad Nabi ,"1,50,00,000",Capped
33,Tom Latham ,"1,50,00,000",Capped
34,Kyle Mayers ,"1,50,00,000",Capped
35,Jason Behrendorff ,"1,50,00,000",Capped
36,Jhye Richardson ,"1,50,00,000",Capped
37,Michael Bracewell ,"1,50,00,000",Capped
38,William O'Rourke ,"1,50,00,000",Capped
39,Jimmy Neesham ,"1,50,00,000",Capped
40,Daniel Sams ,"1,50,00,000",Capped
41,Riley Meredith ,"1,50,00,000",Capped
42,Daniel Worrall ,"1,50,00,000",Capped
43,Matthew Potts ,"1,50,00,000",Capped
44,Tim Southee ,"1,50,00,000",Capped
45,John Turner ,"1,50,00,000",Capped
46,Kyle Jamieson ,"1,50,00,000",Capped
47,Shai Hope ,"1,25,00,000",Capped
48,Jordan Cox ,"1,25,00,000",Capped
49,Tim Seifert ,"1,25,00,000",Capped
50,Nandre Burger ,"1,25,00,000",Capped
51,Sikandar Raza ,"1,25,00,000",Capped
52,Will Young ,"1,25,00,000",Capped
53,Obed McCoy ,"1,25,00,000",Capped
54,Lance Morris ,"1,25,00,000",Capped
55,Ashton Agar ,"1,25,00,000",Capped
56,James Anderson ,"1,25,00,000",Capped
57,Dominic Drakes ,"1,25,00,000",Capped
58,Matthew Forde ,"1,25,00,000",Capped
59,Keemo Paul ,"1,25,00,000",Capped
60,Mayank Agarawal,"1,00,00,000",Capped
61,Alex Carey ,"1,00,00,000",Capped
62,Ashton Turner ,"1,00,00,000",Capped
63,Krishnappa Gowtham,"1,00,00,000",Capped
64,Gulbadin Naib ,"1,00,00,000",Capped
65,Taskin Ahmed ,"1,00,00,000",Capped
66,Chris Green ,"1,00,00,000",Capped
67,Shakib Al Hasan ,"1,00,00,000",Capped
68,Mehidy Hasan Miraz ,"1,00,00,000",Capped
69,Benjamin Sears ,"1,00,00,000",Capped
70,Dan Lawrence ,"1,00,00,000",Capped
71,Nathan Smith ,"1,00,00,000",Capped
72,David Payne ,"1,00,00,000",Capped
73,Wayne Parnell ,"1,00,00,000",Capped
74,Waqar Salamkheil ,"75,00,000",Capped
75,Prithvi Shaw,"75,00,000",Capped
76,K.S Bharat,"75,00,000",Capped
77,Keshav Maharaj ,"75,00,000",Capped
78,Vijayakanth Viyaskanth ,"75,00,000",Capped
79,Dewald Brevis ,"75,00,000",Capped
80,Ben McDermott ,"75,00,000",Capped
81,Kusal Mendis ,"75,00,000",Capped
82,Kusal Perera ,"75,00,000",Capped
83,Josh Philippe ,"75,00,000",Capped
84,Rishad Hossain ,"75,00,000",Capped
85,Zahir Khan Pakten ,"75,00,000",Capped
86,Nqabayomzi Peter ,"75,00,000",Capped
87,Tanveer Sangha ,"75,00,000",Capped
88,Jeffery Vandersay ,"75,00,000",Capped
89,Sediqullah Atal ,"75,00,000",Capped
90,Brandon King ,"75,00,000",Capped
91,Pathum Nissanka ,"75,00,000",Capped
92,Bhanuka Rajapaksa ,"75,00,000",Capped
93,Johnson Charles ,"75,00,000",Capped
94,Litton Das ,"75,00,000",Capped
95,Andre Fletcher ,"75,00,000",Capped
96,Ollie Pope ,"75,00,000",Capped
97,Kyle Verreynne ,"75,00,000",Capped
98,Richard Gleeson ,"75,00,000",Capped
99,Luke Wood ,"75,00,000",Capped
100,Towhid Hridoy ,"75,00,000",Capped
101,Mikyle Louis ,"75,00,000",Capped
102,Harry Tector ,"75,00,000",Capped
103,Najibullah Zadran ,"75,00,000",Capped
104,Ibrahim Zadran ,"75,00,000",Capped
105,Sarfaraz Khan,"75,00,000",Capped
106,Matthew Short ,"75,00,000",Capped
107,Josh Little ,"75,00,000",Capped
108,Shivam Mavi,"75,00,000",Capped
109,Navdeep Saini,"75,00,000",Capped
110,Qais Ahmad ,"75,00,000",Capped
111,Charith Asalanka ,"75,00,000",Capped
112,Gudakesh Motie ,"75,00,000",Capped
113,Daniel Mousley ,"75,00,000",Capped
114,Dunith Wellalage ,"75,00,000",Capped
115,Ottneil Baartman ,"75,00,000",Capped
116,Dilshan Madushanka ,"75,00,000",Capped
117,Chetan Sakariya,"75,00,000",Capped
118,Sandeep Warrier,"75,00,000",Capped
119,Cooper Connolly ,"75,00,000",Capped
120,Dushan Hemantha ,"75,00,000",Capped
121,William Sutherland ,"75,00,000",Capped
122,Ben Dwarshuis ,"75,00,000",Capped
123,Olly Stone ,"75,00,000",Capped
124,Zak Foulkes ,"75,00,000",Capped
125,Wiaan Mulder ,"75,00,000",Capped
126,Dwaine Pretorius ,"75,00,000",Capped
127,Dasun Shanaka ,"75,00,000",Capped
128,Shoriful Islam ,"75,00,000",Capped
129,Blessing Muzarabani ,"75,00,000",Capped
130,Tanzim Hasan Sakib ,"75,00,000",Capped
131,Roston Chase ,"75,00,000",Capped
132,Junior Dala ,"75,00,000",Capped
133,Mahedi Hasan ,"75,00,000",Capped
134,Nangeyalia Kharote ,"75,00,000",Capped
135,Hasan Mahmud ,"75,00,000",Capped
136,Nahid Rana ,"75,00,000",Capped
137,Alick Athanaze ,"75,00,000",Capped
138,Hilton Cartwright ,"75,00,000",Capped
139,Daryn Dupavillon ,"75,00,000",Capped
140,Patrick Kruger ,"75,00,000",Capped
141,Lahiru Kumara ,"75,00,000",Capped
142,Michael Neser ,"75,00,000",Capped
143,Richard Ngarava ,"75,00,000",Capped
144,Odean Smith ,"75,00,000",Capped
145,Andrew Tye ,"75,00,000",Capped
146,Piyush Chawla,"50,00,000",Uncapped
147,Tom Kohler-Cadmore ,"50,00,000",Uncapped
148,Leus Du Plooy ,"50,00,000",Uncapped
149,Michael Pepper ,"50,00,000",Uncapped
150,Ben Howell ,"50,00,000",Uncapped
151,Kartik Tyagi,"40,00,000",Uncapped
152,Shoun Roger,"40,00,000",Uncapped
153,Siddharth Kaul,"40,00,000",Uncapped
154,Ajay Ahlawat,"40,00,000",Uncapped
155,Jalaj Saxena,"40,00,000",Uncapped
156,Yash Dhull,"30,00,000",Uncapped
157,Anmolpreet Singh,"30,00,000",Uncapped
158,Utkarsh Singh,"30,00,000",Uncapped
159,Upendra Singh Yadav,"30,00,000",Uncapped
160,Ricky Bhui,"30,00,000",Uncapped
161,Aarya Desai,"30,00,000",Uncapped
162,Madhav Kaushik,"30,00,000",Uncapped
163,Pukhraj Mann,"30,00,000",Uncapped
164,Mayank Dagar,"30,00,000",Uncapped
165,Suyash Prabhudessai,"30,00,000",Uncapped
166,Sanvir Singh,"30,00,000",Uncapped
167,Avanish Aravelly,"30,00,000",Uncapped
168,Saurav Chauhan,"30,00,000",Uncapped
169,Harvik Desai,"30,00,000",Uncapped
170,B.R Sharath,"30,00,000",Uncapped
171,Sakib Hussain,"30,00,000",Uncapped
172,Vidwath Kaverappa,"30,00,000",Uncapped
173,Rajan Kumar,"30,00,000",Uncapped
174,Sushant Mishra,"30,00,000",Uncapped
175,Prince Choudhary,"30,00,000",Uncapped
176,Himanshu Sharma,"30,00,000",Uncapped
177,Prashant Solanki,"30,00,000",Uncapped
178,Jhathavedh Subramanyan,"30,00,000",Uncapped
179,Priyam Garg,"30,00,000",Uncapped
180,Smaran Ravichandran,"30,00,000",Uncapped
181,Shashwat Rawat,"30,00,000",Uncapped
182,Avneesh Sudha,"30,00,000",Uncapped
183,Apoorv Wankhade,"30,00,000",Uncapped
184,Rishi Dhawan,"30,00,000",Uncapped
185,Tanush Kotian,"30,00,000",Uncapped
186,Shams Mulani,"30,00,000",Uncapped
187,Shivam Singh,"30,00,000",Uncapped
188,Lalit Yadav,"30,00,000",Uncapped
189,Mohammed Azharuddeen,"30,00,000",Uncapped
190,L.R Chethan,"30,00,000",Uncapped
191,Aryaman Singh Dhaliwal,"30,00,000",Uncapped
192,Urvil Patel,"30,00,000",Uncapped
193,Sanskar Rawat,"30,00,000",Uncapped
194,Bipin Saurabh,"30,00,000",Uncapped
195,Tanay Thyagarajann,"30,00,000",Uncapped
196,Money Grewal,"30,00,000",Uncapped
197,Ishan Porel,"30,00,000",Uncapped
198,Abhilash Shetty,"30,00,000",Uncapped
199,Basil Thampi,"30,00,000",Uncapped
200,Murugan Ashwin,"30,00,000",Uncapped
201,Shreyas Chavan,"30,00,000",Uncapped
202,Chintal Gandhi,"30,00,000",Uncapped
203,Raghav Goyal,"30,00,000",Uncapped
204,Jagadeesha Suchith,"30,00,000",Uncapped
205,Roshan Waghsare,"30,00,000",Uncapped
206,Bailapudi Yeswanth,"30,00,000",Uncapped
207,Sachin Dhas,"30,00,000",Uncapped
208,Ashwin Hebbar,"30,00,000",Uncapped
209,Rohan Kunnummal,"30,00,000",Uncapped
210,Ayush Pandey,"30,00,000",Uncapped
211,Akshat Raghuwanshi,"30,00,000",Uncapped
212,Virat Singh,"30,00,000",Uncapped
213,Prerak Mankad,"30,00,000",Uncapped
214,Vicky Ostwal,"30,00,000",Uncapped
215,Shivalik Sharma,"30,00,000",Uncapped
216,Salil Arora,"30,00,000",Uncapped
217,Dinesh Bana,"30,00,000",Uncapped
218,Ajitesh Guruswamy,"30,00,000",Uncapped
219,Narayan Jagadeesan,"30,00,000",Uncapped
220,Vishnu Solanki,"30,00,000",Uncapped
221,K.M Asif,"30,00,000",Uncapped
222,Akhil Chaudhary,"30,00,000",Uncapped
223,Himanshu Chauhan,"30,00,000",Uncapped
224,Arpit Guleria,"30,00,000",Uncapped
225,Nishanth Saranu,"30,00,000",Uncapped
226,Kuldip Yadav,"30,00,000",Uncapped
227,Prithviraj Yarra,"30,00,000",Uncapped
228,Shubham Agrawal,"30,00,000",Uncapped
229,Jass Inder Baidwan,"30,00,000",Uncapped
230,Jasmer Dhankhar,"30,00,000",Uncapped
231,Pulkit Narang,"30,00,000",Uncapped
232,Saumy Pandey,"30,00,000",Uncapped
233,Himanshu Singh,"30,00,000",Uncapped
234,Tanmay Agarwal,"30,00,000",Uncapped
235,Amandeep Khare,"30,00,000",Uncapped
236,Ayush Mhatre,"30,00,000",Uncapped
237,Salman Nizar,"30,00,000",Uncapped
238,Sumeet Verma,"30,00,000",Uncapped
239,Manan Vohra,"30,00,000",Uncapped
240,Samarth Vyas,"30,00,000",Uncapped
241,Emanjot Chahal,"30,00,000",Uncapped
242,Mayank Rawat,"30,00,000",Uncapped
243,Hritik Shokeen,"30,00,000",Uncapped
244,Sonu Yadav,"30,00,000",Uncapped
245,S. Rithik Easwaran,"30,00,000",Uncapped
246,Anmol Malhotra,"30,00,000",Uncapped
247,Pradosh Paul,"30,00,000",Uncapped
248,Karteek Sharma,"30,00,000",Uncapped
249,Akash Singh,"30,00,000",Uncapped
250,Tejasvi Singh,"30,00,000",Uncapped
251,Siddharth Yadav,"30,00,000",Uncapped
252,Saurabh Dubey,"30,00,000",Uncapped
253,Aaqib Khan,"30,00,000",Uncapped
254,Ankit Singh Rajpoot,"30,00,000",Uncapped
255,Divesh Sharma,"30,00,000",Uncapped
256,Naman Tiwari,"30,00,000",Uncapped
257,Kunal Singh Chibb,"30,00,000",Uncapped
258,Yuvraj Chudasama,"30,00,000",Uncapped
